Year,DDs,Quorum, valid, unique,rejects  , percent , multiple
1999 ,  347 , 27.942 ,       ,    208 ,         , 59.942 ,   7.44399
2000 ,  347 , 27.942 ,       ,    216 ,         , 62.248 ,   7.73030
2001 ,,,,311,,, 
2002 ,  939 , 45.965 ,   509 ,    475 ,     122 , 50.586 ,  10.33395
2003 ,  831 , 43.241 ,   510 ,    488 ,     200 , 58.724 ,  11.28559
2004 ,  908 , 45.200 ,   506 ,    482 ,      52 , 53.084 ,  10.66372
2005 ,  965 , 46.597 ,   531 ,    504 ,      69 , 52.228 ,  10.81615
2006 ,  972 , 46.765 ,   436 ,    421 ,      41 , 43.313 ,   9.00246
2007 , 1036 , 48.280 ,   521 ,    482 ,     267 , 46.525 ,   9.98343
2008 , 1075 , 49.181 ,   425 ,    401 ,      35 , 37.302 ,   8.15356
2009 , 1013 , 47.741 ,   366 ,    361 ,      43 , 35.636 ,   7.56155
2010 ,  886 , 44.648 ,   459 ,    436 ,      88 , 49.210 ,   9.76513
2011 ,  911 , 45.274 ,   402 ,    392 ,      93 , 43.030 ,   8.65836
2012 ,  948 , 46.184 ,   436 ,    403 ,      72 , 42.511 ,   8.72589
2013 ,  988 , 47.149 ,   402 ,    390 ,      73 , 39.474 ,   8.27170

